country,reference_information,examples,additional_information
Argentina,"The address format consists of the following lines: Name, Street name and number, Complements (e.g., floor, apartment), Neighbourhood (if needed), and finally the Postal code and Municipality.","Luis Escala
Piedras 623
Piso 2, depto 4
C1070AAM, Capital Federal
---
Old Format Example:
Luis Escala
French 392
Banfield (1828)
Lomas de Zamora, Pcia Buenos Aires
---
New Format Example:
Luis Escala
French 392
Banfield
B1828HKH, Lomas de Zamora","The postal code has been changed from a four-digit format to an eight-digit format. The new format adds a district or province letter code at the beginning for identification. As the system was changed recently, the four-digit format can still be used, but it requires adding the name of the province or district."
Australia,"The address format consists of the recipient's name, followed by optional information, then the street address, and finally a line with the locality, state/territory, and postcode. The street address places the street number (which can be a range) before the street name. Subunit numbers like apartments or units are placed before the street number, separated by a forward slash (/). The final line should be in capital letters and contains the locality (suburb/town, not the city), the abbreviated state/territory, and the postcode. The locality and state are separated by two spaces, and the state and postcode are also separated by two spaces.","Ms H Williams
Finance and Accounting
Australia Post
219–241 Cleveland St
STRAWBERRY HILLS  NSW  1427

---

Mr J. O'Donnell
Lighthouse Promotions
PO Box 215
SPRINGVALE  VIC  3171","The postcode serves as routing information. It is incorrect to include the city or metropolis name unless it is also the name of the suburb, and doing so may delay delivery. The state/territory abbreviation is crucial as many place names are reused. In rural areas, property numbers are calculated based on the distance in metres from the start of the road, divided by ten (e.g., 5080 metres becomes number 508). Even numbers are on the right side of the road, and odd numbers are on the left. Other delivery types include: CARE PO (Care of post office), CMB (Community mail bag), GPO BOX (General Post Box), LOCKED BAG, MS (Mail service), RSD (Roadside delivery), RMS (Roadside mail service), RMB (Roadside mail box/bag), PRIVATE BAG, CMA (Community mail agent), and CPA (Community postal agent)."
Austria,"The address format consists of the following lines: Addressee (Natural person/Organization), an optional more detailed description of the addressee, Street name + number, Postal code + town, and Country (if other than Austria).","Firma ABC
Kundendienst
Hauptstr. 5
1234 Musterstadt",The postal code always consists of four digits.
Bangladesh,"In Bangladesh, the format for rural and urban addresses differs. Urban Address Format: Addressee (Natural person/Organization), More detailed description of addressee (optional), Flat Number, Building Name (if available), Street name + number, Town + postal code, Country (for international mail). Rural Address Format: Name, More detailed description of addressee (optional), Village Name, Post office, Thana Name, District Name, Country (for international mail).","Urban Example:
Sheikh Mujibur Rahman
Dhanmondi. 32
Dhaka-1209
Bangladesh

---

Rural Example:
Sheikh Mujibur Rahman
Village: Tungipara
P.O.: Tungipara
Thana: Tungipara
District: Gopalganj
Bangladesh",The postal code always consists of four digits.
Belarus,"The address format is structured as follows, from top to bottom:
1. Name of addressee
2. Street name, number, apartment/room
3. Village (in rural areas when different from post office)
4. Postal code, post office (in rural areas) or city/town
5. Raion (District)
6. Region
7. Country (for international mail)","Cyrillic example:
Свістунову Івану Пятровічу
вул. Цэнтральная, д. 20
в. Караліставічы
223016, п/а Новы Двор
Мінскага р-на.
Мінскай вобл.
Беларусь (BELARUS)

---

Latin example:
Svistunov Ivan Piatrovič
vul. Centraĺnaja, d. 20
v. Karalistavičy
223016, p/a Novy Dvor
Minskaha r-na
Minskaj vobl.
BELARUS","In some neighborhoods, buildings may not face a named street. Subsidiary buildings can be addressed using 'bud.' (abbreviation for 'budynak', meaning building), e.g., 'vul. Lenina, d. 123, bud. 2'. In newer areas, buildings not on a named street may have Cyrillic letters appended to the building number (e.g., 123-а, 123-б). In 'microraion' neighborhoods, the microraion's name or number can replace the street name, e.g., '4-th microrayon, d. 123, kv. 56'. The information is sourced from Belposhta."
Belgium,"The address starts with the most specific information (addressee) and ends with the most general (postcode and town). The general structure is: Addressee, Optional Function/Department, Organization, Optional Spatial/Dispatching Information (e.g., building, floor), Thoroughfare Name + Street Number + Box Number, Postal Code + Town, and Country (for international mail). The street number is placed after the street name, separated by a space. Separators like punctuation or 'nº' are not allowed. Box numbers, if present, appear on the same line as the street, preceded by the word 'bus' (Dutch) or 'bte' (French).","Example (French):
Monsieur Alain Dupont
Directeur Service Clients
Acme SA
Bloc A – étage 4
Rue du Vivier 7C bte 5
1000 Bruxelles
BELGIQUE

---

Example (Dutch):
Dhr Paul Janssens
Afdeling Kwaliteit
Acme NV
Gebouw A – Verdieping 3
Volklorenlaan 81 bus 15
2610 Wilrijk
BELGIË","Spatial information like building, wing, stairwell, or floor is not allowed in the delivery point location line (the line with the street name and number). If needed, this information must appear on a line above the street line. Symbols such as 'b', 'Bt', '#', '-', '/' are not permitted as separators between the street number and the box number. The official addressing guidelines are registered with the Universal Postal Union (UPU) and can be found on the bpost (Belgian postal operator) website, which also offers an address validation service."
Brazil,"The address format consists of the recipient's name, followed by the street type, street name, number, and apartment/room if needed. The next lines include the neighbourhood (optional), the municipality and state abbreviation, and finally the postal code.","Carlos Rossi
Avenida João Jorge, 112, ap. 31
Vila Industrial
Campinas – SP
13035-680","States can be written in full or abbreviated to two letters (e.g., SP for São Paulo). Postal codes are individualized for streets in towns with 60,000+ inhabitants, with suffixes from -000 to -899. Smaller towns use a generic postcode ending in -000. Bulk mail recipients have specific postcodes with suffixes from -900 to -959. P.O. boxes use suffixes from -970 to -979, and some rural settlements use the suffix -990."
Bulgaria,"The address format starts with the most specific information (addressee) and ends with the most general (city/country). The street number follows the street name, separated by a space and 'No. '. Spatial information like building, floor, or apartment number, if needed, appears on a line above the street line. The general structure is: 
1. Name (personal name, patronymic, surname)
2. Function/department (optional)
3. Company/organization name (optional)
4. Spatial/dispatching information (e.g., street name and number, block, entrance, floor, apartment)
5. Post office box number + neighborhood (optional)
6. Rayon (district) (optional)
7. City/town/village + Postal Code
8. Oblast (province) (optional)
9. COUNTRY (for international mail)","(Example in Bulgarian)
Николай Георгиев Сармаков
свещеник
към църква ""Св. Параскева""
ул. ""Патриарх Евтимий"" No. 1011, бл. 1, вх. 2, ет. 1, ап. 1
П.К. 10117 Стария град
(Район Централен)
Пловдив 4000
(Община Пловдив)
(Област Пловдив)
БЪЛГАРИЯ

---

(Example in English/Latin script for international mail)
Nikolay Georgiev Sarmakov
priest
with the Sv. (Saint) Paraskeva Church
1011 Patriarh Evtimiy Str. (Patriarch Euthymius), block 1, entrance 2, floor 1, flat (apartment) 1
P.O.(box) 101178 The Old Town
(Central District)
Plovdiv 4000
(Plovdiv Municipality)
(Plovdiv Province)
BULGARIA","Domestic mail is written in Bulgarian Cyrillic, while international mail uses the Latin script (usually English). There can be confusion with the abbreviation 'П.К.', which can mean either 'пощенски код' (postal code) or 'пощенска кутия' (P.O. box). The addressee's information is placed on the bottom right of the envelope, and the sender's on the top left or reverse side. Mail can also be sent 'до поискване' (for collection at the post office). The addressing guidelines are registered with the Universal Postal Union (UPU)."
Canada,"An apartment number should be written before the house number and separated by a hyphen. Cardinal directions (e.g., North, North West) can be abbreviated and appear after the street name. Ordinal numbered streets can be written in either English or French. Proper nouns like street names should not be translated, with the exception of 'Street', 'Avenue', and 'Boulevard' which can be interchanged with their French equivalents. The city name is followed by a two-letter provincial abbreviation. There should be two spaces between the province abbreviation and the postal code. If sending from outside Canada, the word 'CANADA' must be placed at the very bottom.","English (from Canada Post):
NICOLE MARTIN
123 SHERBROOKE ST
TORONTO ON L3R 9P6

---

French (from Postes Canada):
CLAUDE M UNTEL
10-123 RUE MAIN SE
MONTRÉAL QC H3Z 2Y7

---

Québec (from the OQLF):
Monsieur Jean-Pierre Lamarre
101–3485, rue de la Montagne
Montréal (Québec) H3G 2A6","Addressing guidelines are issued by Canada Post, but their use can differ between English- and French-speaking populations. Postal codes have a letter-number-letter-space-number-letter-number format (e.g., A1A 1A1). The Province of Québec, through the Office québécois de la langue française (OQLF), maintains a French address format that differs from the one published by Postes Canada. For accurate, up-to-date information, refer to the official guidelines from Canada Post and the OQLF."
Chile,"Chilean address formats vary based on the location type. For urban areas, the required components are street name, house number, apartment number (if applicable), and municipality; however, the commune (neighborhood) and region are also frequently included. For smaller cities, the format often includes the recipient's name, street and number, apartment number, neighborhood, and region. In large rural municipalities with multiple towns, the address must include the town, postal code, or both. In other rural areas where house numbers may not exist, addresses can be identified by a street name followed by a reference point, such as 'S/N' (sin número/no number).","Example 1 (Urban):
Sr. Rodrigo Domínguez
Av. Bellavista N° 185
Dep. 609
8420507 RECOLETA
REGION METROPOLITANA

---

Example 2 (Smaller City):
Sra. Isidora Retamal
Nelson N° 10, Dep. 415
CERRO BARON
V REGION VALPARAISO

---

Example 3 (Rural with Town):
Inversiones Aldunate y Cía. S.A.
Los Aromos N° 12185
25000311 MAITENCILLO
V REGION VALPARAISO

---

Example 4 (Rural without House Number):
Sra. Isidora Retamal
Camino Publico S/N, Tunca Arriba
2970000 SAN VICENT DE T.T.
VI REGION O'HIGGINS","Postal codes are rarely used by people. All postal codes have seven digits; the first three indicate the municipality, and the next four identify a block or a quadrant. It is important to mention the municipality, as many large cities comprise several adjacent municipalities. In smaller cities, it is common to mention unofficial 'comunes' (neighborhoods) for addressing purposes."
